brand,model,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Amazon,Fire HD 10,No,No,2015 September,262 x 159 x 7.7 mm (10.31 x 6.26 x 0.30 in),432,No,IPS LCD capacitive touchscreen  16M colors,10.1 inches (~71.0% screen-to-body ratio),Android OS (customized),Quad-core 1.5 GHz,,,microSD  up to 256 GB (dedicated slot),16/32 GB,1 GB RAM,5 MP,720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band,No,,No,microUSB 2.0,Accelerometer| gyro,Non-removable Li-Ion battery,Black| White,210,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-10.jpg,
Amazon,Fire HD 8,No,No,2015 September,214 x 128 x 7.7 mm (8.43 x 5.04 x 0.30 in),311,No,IPS LCD capacitive touchscreen  16M colors,8.0 inches (~67.7% screen-to-body ratio),Android OS (customized),Quad-core 1.5 GHz,,,microSD  up to 256 GB (dedicated slot),8/16 GB,1 GB RAM,5 MP,720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band,No,,No,microUSB 2.0,Accelerometer| gyro,Non-removable Li-Ion battery,Black| Magenta| Blue| Tangerine,130,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd-8.jpg,
Amazon,Fire 7,No,No,2015 September,191 x 115 x 10.6 mm (7.52 x 4.53 x 0.42 in),313,No,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~62.8% screen-to-body ratio),Android OS (customized),Quad-core 1.3 GHz,,,microSD  up to 256 GB (dedicated slot),8 GB,1 GB RAM,2 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,No,,No,microUSB 2.0,Accelerometer,Non-removable Li-Ion battery,Black,50,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-7.jpg,
Amazon,Fire HDX 8.9 (2014),Yes,Yes,2014 September,231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in),375,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,8.9 inches (~62.9% screen-to-body ratio),Android 4.4 (KitKat - customized),Quad-core 2.5 GHz Krait 450,Qualcomm Snapdragon 805,Adreno 420,No,16/32/64 GB,2 GB RAM,8 MP| autofocus| LED flash,720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band,Yes with A-GPS (4G model),,No,microUSB 2.0 (SlimPort),Accelerometer| gyro,Non-removable Li-Ion battery,Black,310,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89-2014.jpg,
Amazon,Fire HD 7,No,No,2014 September,191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in),337,No,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~58.1% screen-to-body ratio),Android 4.4 (KitKat - customized),Quad-core (2x1.5 GHz & 2x1.2 GHz),,,No,8/16 GB,1 GB RAM,2 MP,VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,No,,No,microUSB 2.0 (SlimPort),Accelerometer| gyro,Non-removable Li-Ion battery,Black| White| Cobalt| Magenta| Citron,120,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd7.jpg,
Amazon,Fire HD 6,No,No,2014 September,169 x 103 x 10.7 mm (6.65 x 4.06 x 0.42 in),290,No,IPS LCD capacitive touchscreen  16M colors,6.0 inches (~60.0% screen-to-body ratio),Android 4.4 (KitKat - customized),Quad-core (2x1.5 GHz & 2x1.2 GHz),,,No,8/16 GB,1 GB RAM,2 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n,No,,No,microUSB 2.0 (SlimPort),Accelerometer| gyro,Non-removable Li-Ion battery,Black| White| Cobalt| Magenta| Citron,90,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-hd6.jpg,
Amazon,Fire Phone,Yes,Yes,2014 June,139.2 x 66.5 x 8.9 mm (5.48 x 2.62 x 0.35 in),160,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,4.7 inches (~65.8% screen-to-body ratio),Amazon Fire 3.5 (Android based)| upgradable to 3.6.5,Quad-core 2.2 GHz Krait 400,Qualcomm Snapdragon 800,Adreno 330,No,32/64 GB,2 GB RAM,13 MP| OIS| autofocus| LED flash,2.1 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band,Yes with A-GPS GLONASS,Yes,No,microUSB 2.0,Accelerometer| gyro| proximity| compass| barometer,Non-removable Li-Ion 2400 mAh battery,Black,160,http://cdn2.gsmarena.com/vv/bigpic/amazon-fire-phone.jpg,
Amazon,Kindle Fire HDX 8.9,Yes,Yes,2013 September,231 x 158 x 7.8 mm (9.09 x 6.22 x 0.31 in),374,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,8.9 inches (~62.9% screen-to-body ratio),Android OS (Jelly Bean - customized),Quad-core 2.2 GHz Krait 400,Qualcomm Snapdragon 800,Adreno 330,No,16/32/64 GB,2 GB RAM,8 MP| autofocus| LED flash,720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n| dual-band,Yes with A-GPS (4G model),,No,microUSB 2.0,Accelerometer| gyro,Non-removable Li-Ion battery,Black,280,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX-89.jpg,
Amazon,Kindle Fire HDX,Yes,Yes,2013 September,186 x 128 x 9 mm (7.32 x 5.04 x 0.35 in),303,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~59.7% screen-to-body ratio),Android OS (Jelly Bean - customized),Quad-core 2.2 GHz Krait 400,Qualcomm Snapdragon 800,Adreno 330,No,16/32/64 GB,2 GB RAM,1.3 MP,No,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n| dual-band,Yes with A-GPS (4G model),,No,microUSB 2.0,Accelerometer| gyro,Non-removable Li-Ion battery,Black,170,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HDX.jpg,
Amazon,Kindle Fire HD (2013),No,No,2013 September,191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in),345,No,IPS LCD capacitive touchscreen  16M colors,7.0 inches (~58.1% screen-to-body ratio),Android OS (Jelly Bean - customized),Dual-core 1.5 GHz,,,No,8/16 GB,1 GB RAM,,,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n| dual-band,No,,No,microUSB 2.0,Accelerometer| gyro,Non-removable Li-Ion battery,Black,100,http://cdn2.gsmarena.com/vv/bigpic/amazon-Kindle-Fire-HD.jpg,
